Key,Korean (South Korea)(ko-KR),English(en),CH,JP,Korean (South Korea)(ko-KR)
UNQ_trainingGround,훈련장,Training Ground,,,
UNQ_gumsan,금산전투,Gumsan,,,
UNQ_namhanFortress,남한산성,Namhan Fortress,,,
UNQ_tier1,보통,Common,,,
UNQ_tier2,고급,Advanced,,,
UNQ_tier3,정예,Elite,,,
UNQ_tier4,특급,Epic,,,
UNQ_tier5,초월,Legendary,,,
TXT_spaceSkip,스페이스 바를 눌러 진행,Press Space to continue,,,
BTN_cancel,취소,Cancel,,,
BTN_confirm,확인,Confirm,,,
CON_combatManual,전투 지침서,Combat Manual,,,
CON_controls,조작법,Controls,,,
CON_combatInfo,전투 정보,Combat Info,,,
CON_attributes,속성 정보,Attributes,,,
CON_settings,설정,Settings,,,
CON_backgroundMusic,배경음,Background Music,,,
CON_soundEffects,효과음,Sound Effects,,,
CON_uiSound,UI 효과음,UI Sound,,,
CON_role,역할,Role,,,
CON_defenseType,방어 속성,Defense Type,,,
CON_mental,멘탈,Mental,,,
CON_attackSpeed,공격 속도,Attack Speed,,,
CON_critChance,치명타율,Crit Chance,,,
CON_attackRange,공격 사거리,Attack Range,,,
CON_moveSpeed,이동 속도,Move Speed,,,
CON_commanderPoints,공로 포인트,Commander Points,,,
CON_defensePadded,완충갑,Padded,,,
CON_defenseSteelplated,철갑,Steelplated,,,
CON_defenseAntipiercing,방탄갑,Anti Piercing,,,
CON_AttackSpeedVeryFast,매우 빠름,Very Fast,,,
CON_AttackSpeedFast,빠름,Fast,,,
CON_AttackSpeedSlightlyFast,약간 빠름,Slightly Fast,,,
CON_AttackSpeedNormal,보통,Normal,,,
CON_AttackSpeedSlow,느림,Slow,,,
CON_AttackSpeedSlightlySlow,약간 느림,Slightly Slow,,,
CON_AttackSpeedVerySlow,매우 느림,Very Slow,,,
CON_skillActive,액티브,Active,,,
CON_skillPassive,패시브,Passive,,,
CON_skillCooltime,쿨타임 {num}초,Cooltime {num}s,,,
CON_basicSkill,기본,Basic Skill,,,
CON_specialSkill,특수,Special Skill,,,
TTL_attributesInfo,공격 속성과 방어 속성,Attack and Defense Attributes,,,
TXT_attributesInfo,"공격 속성에 대응되는 방어 속성이 있습니다.
대응하는 방어 속성일 경우, 아래와 같은 감소 효과가 있습니다.","Attack and defense attributes counter each other.
When an attack meets its corresponding defense, the effectiveness of the attack is reduced.",,,
TXT_damageReduced,받는 데미지 50% 감소,Damage taken reduced by 50%,,,
TXT_critChanceReduced,공격자의 치명타율 50% 감소,Incoming critical rate reduced by 50%,,,
CON_attackSlash,베기,Slash,,,
CON_attackPierce,찌르기,Pierce,,,
CON_attackCrush,때리기,Crush,,,
CON_graphics,그래픽,Graphics,,,
CON_sounds,사운드,Sound,,,
CON_graphicsLow,낮음,Low,,,
CON_graphicsHigh,높음,High,,,
CON_bugReport,버그 신고,Bug Report,,,
CON_roleDPS,딜러,DPS,,,
CON_roleTank,탱커,Tank,,,
CON_roleScout,전령,Scout,,,
CON_roleHealer,힐러,Healer,,,
CON_roleBuffer,버퍼,Buffer,,,
CON_roleDebuffer,디버퍼,Debuffer,,,
CON_missionFighter,파이터,Fighter,,,
CON_missionRunner,러너,Runner,,,
