waveNum,unitId,pos,interval
1,pioneer_1Slave,A,0
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
1,pioneer_1Slave,A,1.5
2,pioneer_1Slave,A,0
2,pioneer_1Slave,A,1.5
2,pioneer_1Slave,A,1.5
2,pioneer_1Slave,A,1.5
2,pioneer_1Slave,A,1.5
2,moor_2Archer,A,1.5
2,moor_2Archer,A,1.5
2,moor_2Archer,A,1.5
2,moor_2Archer,A,1.5
2,moor_2Archer,A,1.5
3,pioneer_1Worker,A,0
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
3,pioneer_1Worker,A,1.5
4,moor_3Warrior,A,0
4,moor_3Warrior,A,1.5
4,moor_3Warrior,A,1.5
4,moor_3Warrior,A,1.5
5,moor_3Warrior,A,0
5,moor_3Warrior,A,1.5
5,moor_3Warrior,A,1.5
5,moor_3Warrior,A,1.5
5,pioneer_1Worker,A,1.5
5,pioneer_1Worker,A,1.5
5,pioneer_1Worker,A,1.5
5,moor_2Archer,A,1.5
5,moor_2Archer,A,1.5
5,moor_2Archer,A,1.5
