id,name
ally,CON_joseonMilitiaList
moor,CON_moorMercenariesList
empire,CON_theSunEmpireList
pioneer,CON_theDivineChosenList
PADDED,CON_defensePadded
ANTIPIERCING,CON_defenseAntipiercing
STEELPLATED,CON_defenseSteelplated
NORMAL,CON_missionRunner
AGGRESSIVE,CON_missionFighter
1,UNQ_tier1
2,UNQ_tier2
3,UNQ_tier3
4,UNQ_tier4
5,UNQ_tier5
Interval_0.5,CON_AttackSpeedVeryFast
Interval_0.75,CON_AttackSpeedFast
Interval_1,CON_AttackSpeedSlightlyFast
Interval_1.5,CON_AttackSpeedNormal
Interval_2,CON_AttackSpeedSlightlySlow
Interval_2.5,CON_AttackSpeedSlow
Interval_3,CON_AttackSpeedVerySlow
탱커,CON_roleTank
전령,CON_roleScout
힐러,CON_roleHealer
버퍼,CON_roleBuffer
디버퍼,CON_roleDebuffer
딜러,CON_roleDPS
