waveNum,unitId,pos,interval
1,empire_1Worker,B,0
1,empire_1Worker,A,1.5
1,empire_1Worker,B,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,B,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,B,1.5
1,empire_1Worker,A,1.5
1,empire_1Worker,B,1.5
1,empire_1Worker,A,1.5
2,empire_1Worker,A,0
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
2,empire_1Worker,A,1.5
3,empire_1Merchant,A,0
3,empire_1Merchant,A,1.5
3,empire_1Merchant,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
3,empire_1Worker,A,1.5
4,empire_1Merchant,A,0
4,empire_1Merchant,A,1.5
4,empire_1Merchant,A,1.5
4,empire_1Trader,A,1.5
4,empire_1Trader,A,1.5
4,empire_1Trader,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
4,empire_1Worker,A,1.5
5,moor_3Warrior,A,0
5,empire_1Merchant,A,1.5
5,empire_1Merchant,A,1.5
5,empire_1Merchant,A,1.5
5,empire_1Trader,A,1.5
5,empire_1Trader,A,1.5
5,empire_1Trader,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
5,empire_1Worker,A,1.5
6,empire_1Worker,A,0
6,empire_1Worker,A,1.5
6,empire_1Worker,A,1.5
6,moor_2Archer,A,1.5
6,moor_2Archer,A,1.5
6,moor_2Archer,A,1.5
6,moor_2Archer,A,1.5
6,moor_2Archer,A,1.5
6,moor_2Archer,A,1.5
6,moor_2Assassin,A,1.5
6,moor_2Assassin,A,1.5
6,moor_2Assassin,A,1.5
6,moor_2Assassin,A,1.5
6,moor_2Assassin,A,1.5
6,moor_2Assassin,A,1.5
6,empire_1Worker,B,1.5
6,empire_1Worker,B,1.5
6,empire_1Worker,B,1.5
6,empire_1Worker,B,1.5
6,empire_1Worker,B,1.5
7,empire_1Worker,A,0
7,empire_1Worker,A,1.5
7,empire_1Worker,A,1.5
